Year,NDVI_Mean,MNDWI_Mean,Precipitation_Mean,Temperature_Mean
2000,0.138,-0.326,1085.55,27.96
2001,0.135,-0.31,1075.2,27.98
2002,0.132,-0.295,1050.75,28.05
2003,0.128,-0.28,1025.3,28.12
2004,0.125,-0.265,1000.85,28.2
2005,0.122,-0.25,980.4,28.28
2006,0.12,-0.235,960.95,28.35
2007,0.118,-0.22,940.5,28.42
2008,0.115,-0.205,920.05,28.48
2009,0.112,-0.19,900.6,28.52
2010,0.136,-0.132,1298.47,28.54
2011,0.14,-0.14,1250,28.56
2012,0.144,-0.15,1200,28.58
2013,0.148,-0.16,1150,28.6
2014,0.152,-0.17,1100,28.62
2015,0.156,-0.18,1050,28.64
2016,0.16,-0.19,1000,28.66
2017,0.163,-0.2,950,28.68
2018,0.165,-0.21,900,28.7
2019,0.166,-0.215,850,28.72
2020,0.166,-0.218,883.74,28.59
